"","X","modelbaseversion","suppliercountry","suppliernationalidentifier","publicationlanguage","publicationtime","publicationcountry","publicationnationalidentifier","situationid","situationconfidentiality","situationinformationstatus","situationurgency","situationrecordid","situationrecordcreationtime","situationrecordversion","situationrecordversiontime","situationrecordfirstsupplierversiontime","probabilityofoccurrence","validitystatus","overallstarttime","delaytimevalue","openlrbinary","openlrversion","alertceventcode","abnormaltraffictype","averagespeed","effectonroadlayout","roadmaintenancetype","roadmaintenancevalue","roadmaintenancelang","constructionworktype","networkmanagementtype","vehicleobstructiontype","accidenttype","obstructiontype","environmentalobstructiontype","poorenvironmenttype","ID","lon","lat"
"1",1,1,"nl","TomTom Traffic Service","en","2016-04-12 17:28:30","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144963350464192","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144963350464192-1","2016-04-12 17:15:00",3,"2016-04-12 17:28:30","2016-04-12 17:28:30","probable","active","2016-04-12 17:15:00",690,"C/wxHRmzsSOCBQCKAPMjVW0=",3,101,"stationaryTraffic",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884454544",-5.35430073735545,36.1554586885636
"2",2,1,"nl","TomTom Traffic Service","en","2016-04-12 17:44:00","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144954117580944","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144954117580944-1","2016-04-12 17:43:30",1,"2016-04-12 17:44:00","2016-04-12 17:44:00","probable","active","2016-04-12 17:43:30",320,"C/wybxm1wwsnBQAaAEsLDg==",3,108,"queueingTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL145000284275392",-5.35078167912793,36.1323916910356
"3",3,1,"nl","TomTom Traffic Service","en","2016-04-12 18:13:30","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144954117376144","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144954117376144-1","2016-04-12 18:12:00",1,"2016-04-12 18:13:30","2016-04-12 18:13:30","probable","active","2016-04-12 18:12:00",552,"C/wyRRm07AsgDwB2AhgLbhoX",3,101,"stationaryTraffic",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL145000284147408",-5.3522193431599,36.1295592783159
"4",4,1,"nl","TomTom Traffic Service","en","2016-04-12 18:28:30","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144954117376144","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144954117376144-1","2016-04-12 18:12:00",1,"2016-04-12 18:28:30","2016-04-12 18:28:30","probable","active","2016-04-12 18:12:00",552,"C/wyRRm07AsgDwB2AhgLbhoX",3,101,"stationaryTraffic",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144963351116944",-5.34947276112867,36.1481845377152
"5",5,1,"nl","TomTom Traffic Service","en","2016-04-13 08:13:30","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144-1","2016-04-13 07:30:30",3,"2016-04-13 08:13:30","2016-04-13 08:13:30","probable","active","2016-04-13 07:30:30",773,"C/wxURm16gw4DAI7/9wLAA==",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884454544",-5.35430073735545,36.1554586885636
"6",6,1,"nl","TomTom Traffic Service","en","2016-04-13 08:28:30","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144-1","2016-04-13 07:30:30",5,"2016-04-13 08:28:30","2016-04-13 08:28:30","probable","active","2016-04-13 07:30:30",463,"C/wxuRm1/wskCAFS/14KIBo=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL145000284275392",-5.35078167912793,36.1323916910356
"7",7,1,"nl","TomTom Traffic Service","en","2016-04-13 08:44:00","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144-1","2016-04-13 07:30:30",5,"2016-04-13 08:44:00","2016-04-13 08:44:00","probable","active","2016-04-13 07:30:30",463,"C/wxuRm1/wskCAFS/14KIBo=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL145000284147408",-5.3522193431599,36.1295592783159
"8",8,1,"nl","TomTom Traffic Service","en","2016-04-13 08:59:30","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144-1","2016-04-13 07:30:30",6,"2016-04-13 08:59:30","2016-04-13 08:59:30","probable","active","2016-04-13 07:30:30",771,"C/wxRxm15wwwDQJI/5MKIBE=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144963351116944",-5.34947276112867,36.1481845377152
"9",9,1,"nl","TomTom Traffic Service","en","2016-04-13 09:14:00","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144-1","2016-04-13 07:30:30",6,"2016-04-13 09:14:00","2016-04-13 09:14:00","probable","active","2016-04-13 07:30:30",771,"C/wxRxm15wwwDQJI/5MKIBE=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884454544",-5.35430073735545,36.1554586885636
"10",10,1,"nl","TomTom Traffic Service","en","2016-04-13 09:28:30","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144-1","2016-04-13 07:30:30",7,"2016-04-13 09:28:30","2016-04-13 09:28:30","probable","active","2016-04-13 07:30:30",788,"C/wxTBm16gw0DQI8/4sKIBA=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL145000284275392",-5.35078167912793,36.1323916910356
"11",11,1,"nl","TomTom Traffic Service","en","2016-04-13 09:44:30","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144-1","2016-04-13 07:30:30",11,"2016-04-13 09:44:30","2016-04-13 09:44:30","probable","active","2016-04-13 07:30:30",795,"C/wxVRm14gw+DAIy/+0LAA==",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL145000284147408",-5.3522193431599,36.1295592783159
