,modelbaseversion,suppliercountry,suppliernationalidentifier,publicationlanguage,publicationtime,publicationcountry,publicationnationalidentifier,confidentiality,informationstatus,locationsetreference,elaborateddataid,suppliercalculateddataquality,openlrbinary,predefinedlocationreference,freeflowspeed,freeflowtraveltime,traveltime,averagespeed
56135,1,nl,TomTom Traffic Service,en,05/05/2016 00:13,other,76624715-56b0-46f7-a8cc-567fb22069cecd279b1,internalUse,real,,Obfc2f2319b45db26d2d605cc14,50,C/wvIxm0XQsmDQLWAFwMFA==,OpenLR,0,0,0,0
56136,1,nl,TomTom Traffic Service,en,05/05/2016 00:13,other,76624715-56b0-46f7-a8cc-567fb22069cecd279b1,internalUse,real,,Obfc30ef19b472a394fee3037c5,65,C/ww7xm0cgo5BP7jADcMBQ==,OpenLR,0,0,0,0
56137,1,nl,TomTom Traffic Service,en,05/05/2016 00:13,other,76624715-56b0-46f7-a8cc-567fb22069cecd279b1,internalUse,real,,Obfc30ef19b472c300fffffffac0,50,C/ww7xm0cgwwAP////oMAA==,OpenLR,0,0,0,0
56138,1,nl,TomTom Traffic Service,en,05/05/2016 00:13,other,76624715-56b0-46f7-a8cc-567fb22069cecd279b1,internalUse,real,,Obfc30f719b46da2c50ecff70c10,89,C/ww9xm0bQosBQDs/3AMEA==,OpenLR,0,0,0,0
56139,1,nl,TomTom Traffic Service,en,05/05/2016 00:13,other,76624715-56b0-46f7-a8cc-567fb22069cecd279b1,internalUse,real,,Obfc30f719b46dc2200509c12,50,C/ww9xm0bQwiAAAFAAkMEg==,OpenLR,0,0,0,0
56140,1,nl,TomTom Traffic Service,en,05/05/2016 00:13,other,76624715-56b0-46f7-a8cc-567fb22069cecd279b1,internalUse,real,,Obfc306a19b48cb38cfd41ff9bb6,50,C/wwahm0jAs4DP1B/5sLBg==,OpenLR,0,0,0,0
56141,1,nl,TomTom Traffic Service,en,05/05/2016 00:13,other,76624715-56b0-46f7-a8cc-567fb22069cecd279b1,internalUse,real,,Obfc307519b488a294118ffc6c19,89,C/wwdRm0iAopBAEY/8YMGQ==,OpenLR,0,0,0,0
56142,1,nl,TomTom Traffic Service,en,05/05/2016 00:13,other,76624715-56b0-46f7-a8cc-567fb22069cecd279b1,internalUse,real,,Obfc307519b488c2100207c11,50,C/wwdRm0iAwhAAACAAcMEQ==,OpenLR,0,0,0,0
56143,1,nl,TomTom Traffic Service,en,05/05/2016 00:13,other,76624715-56b0-46f7-a8cc-567fb22069cecd279b1,internalUse,real,,Obfc31d219b446a2960d10dbca,92,C/wx0hm0RgopBgDRANsMCg==,OpenLR,0,0,0,0
56144,1,nl,TomTom Traffic Service,en,05/05/2016 00:13,other,76624715-56b0-46f7-a8cc-567fb22069cecd279b1,internalUse,real,,Obfc31d219b446b3a2ff8203ac1,65,C/wx0hm0Rgs6Av+CADoMAQ==,OpenLR,0,0,0,0
56145,1,nl,TomTom Traffic Service,en,05/05/2016 00:13,other,76624715-56b0-46f7-a8cc-567fb22069cecd279b1,internalUse,real,,Obfc315c19b429a394ff1509ec3,54,C/wxXBm0KQo5BP8VAJ4MAw==,OpenLR,0,0,0,0
56146,1,nl,TomTom Traffic Service,en,05/05/2016 00:13,other,76624715-56b0-46f7-a8cc-567fb22069cecd279b1,internalUse,real,,Obfc315c19b429c310fffefff9c1,50,C/wxXBm0KQwxAP/+//kMAQ==,OpenLR,0,0,0,0
56147,1,nl,TomTom Traffic Service,en,05/05/2016 00:13,other,76624715-56b0-46f7-a8cc-567fb22069cecd279b1,internalUse,real,,Obfc316519b42ab242073078c17,90,C/wxZRm0KgskAgBzAHgMFw==,OpenLR,0,0,0,0
56148,1,nl,TomTom Traffic Service,en,05/05/2016 00:13,other,76624715-56b0-46f7-a8cc-567fb22069cecd279b1,internalUse,real,,Obfc319719b461b333ff82ff87c3,50,C/wxlxm0YQszA/+C/4cMAw==,OpenLR,0,0,0,0
56149,1,nl,TomTom Traffic Service,en,05/05/2016 00:13,other,76624715-56b0-46f7-a8cc-567fb22069cecd279b1,internalUse,real,,Obfc319b19b462b292076ffc5b1a,90,C/wxmxm0YgspAgB2/8ULGg==,OpenLR,0,0,0,0
56150,1,nl,TomTom Traffic Service,en,05/05/2016 00:13,other,76624715-56b0-46f7-a8cc-567fb22069cecd279b1,internalUse,real,,Obfc322a19b4a4a2f5ff44ff37a7,88,C/wyKhm0pAovBf9E/zcKBw==,OpenLR,0,0,0,0
56151,1,nl,TomTom Traffic Service,en,05/05/2016 00:13,other,76624715-56b0-46f7-a8cc-567fb22069cecd279b1,internalUse,real,,Obfc322a19b4a4c2b0016fff8c19,50,C/wyKhm0pAwrAAAW//gMGQ==,OpenLR,0,0,0,0
56152,1,nl,TomTom Traffic Service,en,05/05/2016 00:13,other,76624715-56b0-46f7-a8cc-567fb22069cecd279b1,internalUse,real,,Obfc323319b4aca202025089a10,68,C/wyMxm0rAogAgAlAIkKEA==,OpenLR,0,0,0,0
56153,1,nl,TomTom Traffic Service,en,05/05/2016 00:13,other,76624715-56b0-46f7-a8cc-567fb22069cecd279b1,internalUse,real,,Obfc323319b4acc370fff4ffffc7,90,C/wyMxm0rAw3AP/0//8MBw==,OpenLR,0,0,0,0
56154,1,nl,TomTom Traffic Service,en,05/05/2016 00:13,other,76624715-56b0-46f7-a8cc-567fb22069cecd279b1,internalUse,real,,Obfc324319b61b27801cfe87a5f27,54,C/wyQxm2AQsnCAAc/ocKXyc=,OpenLR,0,0,0,0
56155,1,nl,TomTom Traffic Service,en,05/05/2016 00:13,other,76624715-56b0-46f7-a8cc-567fb22069cecd279b1,internalUse,real,,Obfc324519b4eca323ffc6ff65c1f,76,C/wyRRm07AoyA//G/2UMHw==,OpenLR,0,0,0,0
56156,1,nl,TomTom Traffic Service,en,05/05/2016 00:13,other,76624715-56b0-46f7-a8cc-567fb22069cecd279b1,internalUse,real,,Obfc324519b4ecb2040180d9b10,67,C/wyRRm07AsgBAAYANkLEA==,OpenLR,0,0,0,0
56157,1,nl,TomTom Traffic Service,en,05/05/2016 00:13,other,76624715-56b0-46f7-a8cc-567fb22069cecd279b1,internalUse,real,,Obfc325019b551a2150440f4ce,57,C/wyUBm1UQohBQBEAPQMDg==,OpenLR,0,0,0,0
56158,1,nl,TomTom Traffic Service,en,05/05/2016 00:13,other,76624715-56b0-46f7-a8cc-567fb22069cecd279b1,internalUse,real,,Obfc325019b551b304ffe8ff27b0,70,C/wyUBm1UQswBP/o/ycLAA==,OpenLR,0,0,0,0
56159,1,nl,TomTom Traffic Service,en,05/05/2016 00:13,other,76624715-56b0-46f7-a8cc-567fb22069cecd279b1,internalUse,real,,Obfc326f19b5c3b27702808cb3011,50,C/wybxm1wwsnBwAoAIwLMBE=,OpenLR,0,0,0,0
56160,1,nl,TomTom Traffic Service,en,05/05/2016 00:13,other,76624715-56b0-46f7-a8cc-567fb22069cecd279b1,internalUse,real,,Obfc326f19b5c3c370ffeefffbc5,50,C/wybxm1www3AP/u//sMBQ==,OpenLR,0,0,0,0
56161,1,nl,TomTom Traffic Service,en,05/05/2016 00:29,other,76624715-56b0-46f7-a8cc-567fb22069cecd279b1,internalUse,real,,Obfc2f2319b45db26d2d605cc14,50,C/wvIxm0XQsmDQLWAFwMFA==,OpenLR,0,0,0,0
56162,1,nl,TomTom Traffic Service,en,05/05/2016 00:29,other,76624715-56b0-46f7-a8cc-567fb22069cecd279b1,internalUse,real,,Obfc30ef19b472a394fee3037c5,50,C/ww7xm0cgo5BP7jADcMBQ==,OpenLR,0,0,0,0
56163,1,nl,TomTom Traffic Service,en,05/05/2016 00:29,other,76624715-56b0-46f7-a8cc-567fb22069cecd279b1,internalUse,real,,Obfc30ef19b472c300fffffffac0,50,C/ww7xm0cgwwAP////oMAA==,OpenLR,0,0,0,0
56164,1,nl,TomTom Traffic Service,en,05/05/2016 00:29,other,76624715-56b0-46f7-a8cc-567fb22069cecd279b1,internalUse,real,,Obfc30f719b46da2c50ecff70c10,81,C/ww9xm0bQosBQDs/3AMEA==,OpenLR,0,0,0,0
56165,1,nl,TomTom Traffic Service,en,05/05/2016 00:29,other,76624715-56b0-46f7-a8cc-567fb22069cecd279b1,internalUse,real,,Obfc30f719b46dc2200509c12,50,C/ww9xm0bQwiAAAFAAkMEg==,OpenLR,0,0,0,0
56166,1,nl,TomTom Traffic Service,en,05/05/2016 00:29,other,76624715-56b0-46f7-a8cc-567fb22069cecd279b1,internalUse,real,,Obfc306a19b48cb38cfd41ff9bb6,50,C/wwahm0jAs4DP1B/5sLBg==,OpenLR,0,0,0,0
